症状,亲友团
一切痧气,"['产后', '肚腹痛', '月经不通', '头痛', '咳嗽', '中风', '伤寒', '眩晕', '大小便不通', '心腹胀', '痰饮', '疟', '寒邪', '恶心', '阴寒']"
七情抑郁,"['饮食不下', '口干', '带下', '崩中漏下', '气滞', '口苦', '心热', '肌黄形瘦', '胸胁刺痛']"
三阴亏损,"['饮食不下', '遍身壮热', '带下', '肢体怠情', '盗汗', '冲任不固', '惊悸', '不睡', '怔忡不宁', '痔疮', '多忘', '心肾不交', '肠红', '疟疾不愈', '精血虚损']"
上下通燥,"['血风劳', '血崩', '崩中漏下', '气短促', '神昏', '脉数而涩', '燥热', '闭目不省', '鼻干', '错语', '前后血']"
下焦蓄血,"['月经不通', '言语謇涩', '小便利数', '经前腹痛', '烦渴', '跌打损伤', '大便色黑', '少腹急痛', '其人如狂', '至夜发热']"
下疳注干,"['月经不调', '寒热', '头痛', '气血', '痈', '乳痈', '疳', '瘰疬', '流注']"
下疳溃烂,['结毒']
下痢久不止,['产后']
下痢纯白,"['产后', '肚腹痛', '里急后重', '手足清冷']"
下痢羸瘦,"['月经不通', '结生瘕聚', '脐下结物']"
下脓血不止,['痔疮']
下虚无力,"['产后', '干呕', '月经不通', '寒热', '头痛', '赤白带下', '中风', '痢不止', '伤寒', '不育', '血风劳', '血崩', '涩', '渐渐羸瘦', '结生瘕聚']"
下部冷疼,['产后久痢']
下部常湿,"['带下', '不育', '元气虚惫', '阴中冷', '小便浊败', '淋沥不断', '白淫', '精气不固']"
下部秽恶,"['饮食不下', '不育', '元气虚惫', '肢体怠情', '吐血不止', '五劳', '寒湿', '眼昏', '肠风', '流注', '痔漏', '行步艰难', '泻血', '脚疼', '皮肤干燥']"
下部阴湿,"['下元虚冷', '胎元久冷']"
不可按摩,"['衄血', '妊娠中恶', '心腹绞急切痛']"
不得快利,['脐下疼痛']
不排卵,"['月经不调', '不育', '子宫发育不良']"
不耐劳动,"['干呕', '月经不通', '面色黄青', '产后滞血', '上气', '食不生肌']"
临时多寡不一,"['饮食不下', '赤白带下', '不育', '头目眩晕', '结生瘕聚', '肢节无力', '气血', '经行无定期', '心热', '肌黄形瘦', '四肢烦倦', '七情内伤', '血瘕', '腰膝酸痛或冷痛', '心肾不交']"
丹田冷痛,"['痢不止', '阴中冷', '气弱']"
丹石毒发,"['产后', '头痛', '痢不止', '身疼', '大小便不通', '烦愦', '热毒', '吐血不止', '不安', '风湿脚气', '赤白痢', '心腹胀满', '食积', '四肢烦倦', '眼赤']"
久病虚损,"['产后', '饮食不下', '月经不通', '月经不调', '遍身壮热', '寒热', '咳嗽', '中风', '口干', '眩晕', '头目眩晕', '崩中漏下', '喘促', '多倦', '肢体怠情']"
久痹,"['饮食不下', '月经不通', '渐渐羸瘦', '结生瘕聚', '气短促', '胸中胀满', '血气冲心痛', '大便后下血', '余疾', '邪气', '厥逆']"
久虚积冷,"['饮食不下', '干呕', '赤白带下', '咳嗽', '痢不止', '不育', '肌体羸瘦', '结生瘕聚', '心腹疼痛', '肢体怠情', '面色黄青', '小便利数', '肠风', '上气', '丹疹']"
久闭不通,"['产后', '饮食不下', '月经不调', '寒热', '赤白带下', '月经过多', '肌体羸瘦', '血崩', '结生瘕聚', '面无色', '腰胯沉重', '血海虚冷', '干血', '两胁胀痛', '气血不调']"
乍作乍止,"['腹中', '作痛', '气血俱实']"
五更泄泻,"['痢不止', '眩晕', '心神惊悸', '小便利数', '精神不守', '气短', '面色苍白', '身凉', '腰痛如折', '白带清稀', '带不甚多']"
五痔下血,"['血风劳', '风邪', '久虚', '皮肤瘙痒', '遍身麻痹', '停滞', '手足痿缓']"
从汗出利,"['饮食不下', '干呕', '月经过多', '伤寒', '渐渐羸瘦', '崩中漏下', '五劳', '流产', '骨蒸潮热', '漏血不止', '不定', '心气不足', '阴阳不和', '多忘', '传尸']"
伤败气血,"['疼痛', '血风劳', '寒湿', '经络不和']"
伤风斑症,"['言语謇涩', '痰饮', '烦躁', '口烂', '壅盛', '丹毒', '瘾疹']"
低微,"['血崩', '崩中漏下', '血亏', '冲任不固', '面无色', '舌质淡', '出血', '脉沉细', '声音', '无苔', '月经已止']"
作冷作烧,"['饮食不下', '腹中疼痛', '盗汗', '气血', '阴中冷', '自汗', '面无色', '骨蒸潮热', '漏血不止', '经前腹痛', '四肢肿', '四肢烦倦', '脾胃虚弱', '腰膝酸痛或冷痛', '腰痠带多']"
侵损荣卫,"['妊娠', '流产', '气血虚弱', '血脏宿冷', '腰痛下血', '情欲相扰', '病患相感', '精血攻冲']"
俯仰屈伸难,"['半身不遂', '汗出', '四肢拘挛', '癫痫', '手足清冷', '寒冷']"
倦起,"['饮食不下', '肚腹痛', '口干', '带下', '血崩', '身疼', '渐渐羸瘦', '面色黄青', '腹刺痛', '产后滞血', '多睡', '口苦', '心热', '血不止', '经水不匀']"
偏坠疼痛,"['产后', '肚腹痛', '月经不通', '头痛', '咳嗽', '中风', '伤寒', '眩晕', '大小便不通', '心腹胀', '痰饮', '疟', '寒邪', '恶心', '阴寒']"
偏挛,"['中风', '四肢急掣', '口急', '言语不得']"
偏枯一边,"['中风', '言语謇涩', '精神不守', '手足不遂']"
偏枯不仁,"['疼痛', '带下', '不育', '眩晕', '盗汗', '夜寐不安', '手足挛急', '恐怖', '多悲', '风入五脏']"
偏视不明,['头痛']
停息,"['产后', '寒邪', '胎衣不下', '不能行步', '血气凝涩', '气力疲乏']"
关格闭塞,"['产后', '大小便不通']"
关窍不固,"['赤白带下', '津枯', '房事过度', '水不济火']"
内劳无度,"['带下', '神昏', '心阳内耗', '命门不禁', '命门失守', '液脱阳离']"
内疽,"['产后', '肚腹痛', '恶露未尽', '大便结燥', '肿痛', '流注', '瘀血作痛', '肠痈', '肠胃作痛']"
冬月感寒,"['遍身壮热', '气血', '脱衣受风']"
冲任太过,"['月经不通', '遍身壮热', '腹中疼痛', '冲任不固', '不调', '发寒热', '阴阳不和', '渐减饮食']"
冷痢不止,['产后']
冻疮痒痛,"['热毒', '风湿脚气', '乳痈', '痈疽发背', '跌打损伤', '丹毒', '肿毒', '皮肤瘙痒', '疔毒', '漆疮', '肌肤赤肿', '湿痰流毒', '大头时肿', '癣疥湿癞']"
凝结有块,"['饮食不下', '产后四肢浮肿', '肿中']"
出冷沫,"['产后', '饮食不下', '月经不调', '寒热', '动胎', '带下', '肌体羸瘦', '难产', '崩中漏下', '喘促', '产后百损', '恶露未尽', '盗汗', '昏迷不省', '死胎']"
前后血,"['血风劳', '血崩', '崩中漏下', '气短促', '神昏', '脉数而涩', '燥热', '闭目不省', '鼻干', '错语', '上下通燥']"
卒淋涩,"['产后', '腹中疼痛']"
卵痛,"['腹中疼痛', '阴肿', '奔豚', '上冲心腹']"
去衣而走,"['血崩', '心神多躁', '言语謇涩', '热毒', '气血', '妄言', '多怒', '客热', '如风鬼神', '登高而歌']"
参差不准,"['饮食不下', '赤白带下', '不育', '头目眩晕', '结生瘕聚', '肢节无力', '气血', '经行无定期', '心热', '肌黄形瘦', '四肢烦倦', '七情内伤', '血瘕', '腰膝酸痛或冷痛', '心肾不交']"
发搦,"['月经不调', '口干', '肌体羸瘦', '头目眩晕', '盗汗', '四肢烦疼', '多睡', '潮热', '骨蒸潮热', '阴虚', '心热', '气血虚弱', '面色发红', '不和', '痰喘']"
发牙,"['难产', '死胎', '疮疥', '痈疽发背', '瘰疬', '咽喉闭塞', '血气冲心', '风肿', '奶癣', '发脑', '发鬓', '折伤筋骨', '肾癣', '干癣', '瘘疮']"
口唇,"['口干', '心神多躁', '多倦', '疟', '寒邪', '阴寒', '壮热', '痞积', '舌苔花白', '往来寒热', '无汗', '脉沉弦', '色赤', '战慄']"
古怪异物,"['结生瘕聚', '五劳', '满腹行走']"
叱逆眩倒,"['妊娠', '斑', '子痫', '倒错不识人']"
吃噎,"['月经不通', '赤白带下', '中风', '痢不止', '带下', '难产', '血风劳', '疟', '热毒', '吐血不止', '妇人血气', '霍乱', '五劳', '死胎', '吐泻']"
吐水呕逆,"['饮食不下', '月经不通', '赤白带下', '咳嗽', '痢不止', '眩晕', '结生瘕聚', '盗汗', '小便利数', '多睡', '血气冲心痛', '冷气', '疝气', '心腹胀满', '食积']"
吐沫抽掣,"['产后', '背项强直', '神昏']"
吞酸嗳腐,"['满闷', '产后伤食']"
吞酸逆气,"['干呕', '肚腹痛', '遍身壮热', '咳嗽', '中风', '血崩', '大小便不通', '痰饮', '胸中胀满', '虚劳', '骨蒸潮热', '半身不遂', '疝气', '淋', '痞积']"
含糊謇涩,"['产后', '言语謇涩', '怔忡不宁', '心血虚弱']"
呕沫,"['饮食不下', '干呕', '眩晕', '腰痛', '不安', '产后气虚', '面无色', '恍惚', '神昏', '面目青黑', '面色发红', '上气', '骨疼', '狂言', '脓血']"
命门不禁,"['带下', '神昏', '心阳内耗', '内劳无度', '命门失守', '液脱阳离']"
命门失守,"['带下', '神昏', '心阳内耗', '内劳无度', '命门不禁', '液脱阳离']"
哺食减少,"['饮食不下', '遍身壮热', '寒热', '头痛', '大小便不通', '心腹胀满', '不睡', '饮食过度', '腹内不调', '气息不快']"
哽哽不利,"['元气虚惫', '四肢急掣', '五劳', '烦热', '寒湿', '半身不遂', '眼昏', '生疮', '肿痛', '口烂', '上气', '耳聋', '瘰疬', '偏枯', '咽喉闭塞']"
唯喜干食,"['脐腹冷痛', '带下不止', '目巟', '两目中流火', '齿皆恶热饮', '大恶汤饮']"
啼泣不止,"['言语謇涩', '风邪', '心神恐惧', '歌笑无度']"
善笑不息,"['中风', '四肢拘挛']"
喘不能卧,['产后积聚癥块']
喜晴明,"['饮食不下', '头痛', '咳嗽', '带下', '不止', '喘促', '痰饮', '肢体怠情', '气短促', '腹中', '霍乱', '小便利数', '气逆', '耳内虚鸣', '面目青黑']"
喜暖,"['涩', '阴寒', '痈', '风湿脚气', '痈疽发背', '疖', '脉细紧', '麻木', '瘾疹', '足筋肿', '腰胯疼痛']"
喜暖恶寒,"['月经不通', '月经不调', '月经过多', '不止', '腹内痛', '舌质淡', '腰痠', '肾虚', '舌苔花白', '大便时溏', '面色苍白', '脉缓', '小便清长', '带下黑色', '稀薄']"
喜温,"['遍身壮热', '口干', '肢节无力', '肢体怠情', '气短促', '有汗', '舌质淡', '舌苔花白', '大便时溏', '久痢', '肛出', '久疟', '久泻', '懒言']"
喜睡恶食,"['痢不止', '言语謇涩', '吐泻', '肠风', '肌黄形瘦', '左瘫右痪', '畏寒', '痔漏', '手足烦倦', '腰膝酸痛或冷痛', '久疟', '上热下冷', '气块下注', '赤黄疮毒']"
嗜欲无节,"['产后', '月经不通', '肌体羸瘦', '疟', '盗汗', '自汗', '心神恍惚', '虚火', '咳血', '咯血', '往来寒热', '起居不时', '痨症', '真阴耗竭']"
噎塞阻食,['妊娠']
囊外湿痒,"['饮食不下', '寒热', '赤白带下', '痢不止', '疟', '阴中冷', '小便利数', '精滑', '脾泄', '胎元不固']"
块硬刺痛,"['产后', '干呕', '月经不调', '月经过多', '疼痛', '肌体羸瘦', '头目眩晕', '血崩', '元气虚惫', '心腹疼痛', '恶露未尽', '血晕', '腹中', '冲任不固', '堕胎']"
声嘶,"['妊娠', '肌体羸瘦', '精神不守', '气急', '干嗽']"
多吐清水,"['饮食不下', '月经不通', '月经不调', '疼痛', '背项强直', '肌黄形瘦', '痠痛', '脐腹胀闷', '瘙痒', '遍身麻痹']"
多食厚味,"['产后', '饮食不下', '肢体怠情', '脾气受伤', '脾转运滞', '痞塞嗳酸']"
大恶汤饮,"['脐腹冷痛', '带下不止', '目巟', '两目中流火', '齿皆恶热饮', '唯喜干食']"
大热壅极,"['妊娠', '口干', '心神多躁']"
大风血癞,"['寒热', '赤白带下', '寒邪', '气短促', '邪气', '湿痹', '女子血衰', '容色枯瘁', '阴痛余沥']"
天癸不应,"['饮食不下', '赤白带下', '不育', '头目眩晕', '结生瘕聚', '肢节无力', '气血', '经行无定期', '心热', '肌黄形瘦', '四肢烦倦', '七情内伤', '血瘕', '腰膝酸痛或冷痛', '心肾不交']"
失禁,"['妊娠', '干呕', '带下', '大小便不通', '小便利数', '寒湿', '淋沥不断', '浮肿', '举体沉重', '口不渴', '腹泻', '腰以下冷']"
头皮光急,"['胎热', '小儿疳', '头发作穗', '腮虚肿', '鬓有疮痍']"
女阴白斑,[]
如风鬼神,"['血崩', '心神多躁', '言语謇涩', '热毒', '气血', '妄言', '多怒', '客热', '去衣而走', '登高而歌']"
子宫恶疾,"['产后', '肚腹痛', '月经不调', '带下', '元气虚惫', '崩中漏下', '血晕', '冲任不固', '神昏', '淋沥不断', '手足烦倦', '思虑气恼']"
宫寒不孕,['气血虚弱']
容枯,['月经不通']
寒入阴户,"['元气虚惫', '血结', '腹大', '肿胀']"
寒凝浊瘀,"['赤白带下', '风入胞中']"
寒气客于血室,"['肚腹痛', '月经不通', '血结', '成块', '脉细紧', '寒疝', '积血', '肠胃疼痛', '血郁', '脐下有积块', '脐下如覆钵', '小腹胀满疼痛']"
寒泄,"['赤白带下', '小便浊败', '虚冷', '精冷', '痿弱', '宫寒']"
寒泻,"['赤白带下', '阴中冷', '小便浊败', '精冷', '痿弱']"
寒热如疟状,"['产后', '四肢烦疼', '产后气短', '头目痛']"
寝常自汗,"['饮食不下', '干呕', '赤白带下', '月经过多', '肌体羸瘦', '头目眩晕', '寒邪', '面色黄青', '气短促', '腹刺痛', '心神惊悸', '堕胎', '崩中五色', '心胸噎闷', '子宫虚惫']"
小儿羸瘦,"['肚腹痛', '赤白带下', '疟', '盗汗', '小便利数', '赤白痢', '神昏', '癫痫', '咳逆', '山岚瘴气', '食滞', '中热', '心疼', '脐腹胀闷', '血痢']"
少寒多热,"['产后', '多倦', '烦渴', '痰壅', '减食', '血气虚损', '失于将理', '嗽逆']"
屡次过期,['月经不调']
左右强弱不调,"['饮食不下', '月经不通', '月经不调', '难产', '肌黄形瘦', '脉数涩']"
左瘫,"['产后', '中风', '言语謇涩', '牙关紧闭', '瘙痒', '顽痹', '涎潮']"
带下色黑质薄,"['饮食不下', '精神不守', '面无色', '寒湿', '四肢肿', '气短', '舌质淡', '手足厥寒', '月经后期', '舌苔花白', '所下', '大便时溏', '色淡', '脉沉而迟', '质清']"
干嗽有声,[]
干癣,"['难产', '死胎', '疮疥', '痈疽发背', '瘰疬', '咽喉闭塞', '血气冲心', '风肿', '奶癣', '发脑', '发鬓', '折伤筋骨', '肾癣', '发牙', '瘘疮']"
得按则减,"['月经不调', '疼痛', '经行无定期', '舌质淡', '少腹苦痛', '腰痠', '舌苔花白', '经水涩少', '色淡', '脉沉细']"
微呕,"['妊娠', '遍身壮热', '伤寒', '阴寒', '胸中胀满', '四肢烦倦', '举体沉重']"
微咳,"['妊娠', '寒热', '头痛', '伤寒', '肌体羸瘦', '身疼', '堕胎', '壮热', '腰腿痠疼', '四肢沉重', '鼻塞声重']"
忧乐不常,"['妊娠', '痰壅', '不能行步', '血多', '饮食过度', '胞胎肥厚', '腹皮宽胀']"
忧郁不解,"['妊娠', '阴虚', '胎燥萎']"
思虑气恼,"['产后', '肚腹痛', '月经不调', '带下', '元气虚惫', '崩中漏下', '血晕', '冲任不固', '神昏', '淋沥不断', '手足烦倦', '子宫恶疾']"
怵惕多惊,"['心神惊悸', '恍惚', '产后虚汗不止']"
恶毒初起,"['产后', '肚腹痛', '月经不通', '头痛', '咳嗽', '中风', '伤寒', '眩晕', '大小便不通', '心腹胀', '痰饮', '疟', '寒邪', '恶心', '阴寒']"
恶气熏人,"['带下', '小便浊败', '口臭', '腥秽', '腋臭狐臊']"
恶疮癣,"['带下', '疝气', '阴汗', '发乳', '野鸡痔']"
恶秽不下,"['肚腹痛', '痢不止', '气滞', '产后滞血']"
恶肉突出,"['久不愈', '趾甲生疮']"
恶见,"['遍身壮热', '肢节无力', '腹中', '自汗', '精神不守', '气逆', '漏血不止', '气短', '脾胃虚弱', '闷乱', '心气不足', '色鲜红', '沉懒']"
恶阴寒,"['饮食不下', '头痛', '咳嗽', '带下', '不止', '喘促', '痰饮', '肢体怠情', '气短促', '腹中', '霍乱', '小便利数', '气逆', '耳内虚鸣', '面目青黑']"
恶露已尽,"['产后百损', '昏迷不省', '神昏', '闷绝', '气冷', '血随气上']"
恶露纯水,"['恶物不下', '脉紧涩']"
恶食呕逆,['妊娠']
悲思愁忧,"['风邪', '夜寐不安', '多怒', '心神恐惧']"
悲泣不止,"['月经不通', '面目青黑', '热入血室', '歌詠言笑']"
情志不遂,"['癫痫', '脉弦']"
情思昏闷,"['干呕', '头痛', '身疼']"
情欲相扰,"['妊娠', '流产', '气血虚弱', '血脏宿冷', '腰痛下血', '侵损荣卫', '病患相感', '精血攻冲']"
惊泻,"['脾胃虚弱', '痘疹', '中满', '带下色青', '粪稠若胶']"
慢性紫红斑片,"['血块', '经前腹痛', '面目青黑', '血瘀', '月经先期', '脉滑', '舌苔黄腻', '胁胀', '紫红色结节性皮疹', '面部色素沉着', '舌薄', '瘀斑']"
憎寒如疟,"['头痛', '骨疼', '脉弦']"
成黑,"['赤白带下', '漏血不止']"
房事过度,"['赤白带下', '津枯', '关窍不固', '水不济火']"
抑郁不舒,"['饮食不下', '心神惊悸', '经行无定期', '舌质淡', '舌苔花白', '脉沉', '怔忡不宁', '胸烦', '弦数', '急躁', '多梦', '血量少']"
拘挛肿满,"['饮食不下', '月经不调', '寒热', '带下', '渐渐羸瘦', '崩中漏下', '结生瘕聚', '面色黄青', '盗汗', '腹刺痛', '心神惊悸', '背项强直', '面目青黑', '脚手痹顽', '少腹苦痛']"
指节疼痛,"['头痛', '产后百损', '汗出']"
推之可移,"['舌质淡', '月经后期', '舌苔花白', '气滞不行', '脉滑', '拒按', '胸胁疼', '少腹常疼', '少腹中部亦痛', '不拒按', '有块不坚', '痞满不思食']"
搔之作疮,"['心神多躁', '头面肿满', '皮肤瘙痒', '搔痒', '生瘾疹']"
操劳过度,"['冲任不固', '白带频下', '血气耗损']"
攻痛成疾,"['饮食不下', '月经不通', '眩晕', '眼目昏花', '腹中结块', '瘀血未尽']"
数损堕,['动胎']
数日不净,"['月经过多', '脉弦数', '阴虚', '舌质红', '舌苔黄腻', '色红', '无块', '无苔']"
数痢,"['脐腹冷痛', '产后伤寒并痢', '瘦不能食']"
斑出黑色,"['气急', '热病', '小便如血', '胎欲落']"
新感寒邪,"['痢不止', '脾肾气弱']"
旦夕不止,"['寒热', '赤白带下', '头目眩晕', '肢体怠情', '骨蒸潮热', '肌黄形瘦', '淋漓不净', '行步艰难', '怒郁伤肝', '腥秽', '败浊', '烦嗽', '劳倦伤干脾气', '腰膝痿痹', '赤白不分']"
昏倦力乏,"['产后', '饮食不下', '月经不通', '头痛', '中风', '疼痛', '肌体羸瘦', '头目眩晕', '涩', '壮热', '心腹多痛', '冷气', '感冒', '腹内', '四肢拘挛']"
昏冒不省,"['遍身壮热', '口干', '眩晕', '崩中漏下', '肢节无力', '盗汗', '自汗']"
昏暗作瞑,"['饮食不下', '干呕', '月经过多', '伤寒', '渐渐羸瘦', '崩中漏下', '五劳', '流产', '骨蒸潮热', '漏血不止', '不定', '心气不足', '阴阳不和', '多忘', '传尸']"
昏睡,"['遍身壮热', '热毒', '气短促', '感冒', '惊风', '丹疹', '瘟疫', '中热', '赤白带', '发搐']"
昏闷不语,"['产后', '中风', '口急', '身体拘急']"
昼则明了安静,"['遍身壮热', '血结', '热入血室', '血不止', '如见鬼神', '寒劳']"
晕旋,"['产后', '饮食不下', '干呕', '头痛', '胸中胀满', '壮热', '产后气虚', '感冒', '不睡']"
暴寒乍暖,"['产后', '头痛', '伤寒', '眩晕', '头目眩晕', '神昏', '风邪']"
暴血下,"['胎衣不下', '死胎', '胞干', '血冲上昏闷']"
月信准,"['腹内痛', '痰闭子宫', '肥白']"
月经已止,"['血崩', '崩中漏下', '血亏', '冲任不固', '面无色', '舌质淡', '出血', '脉沉细', '声音', '无苔', '低微']"
有块不坚,"['舌质淡', '月经后期', '舌苔花白', '气滞不行', '脉滑', '拒按', '胸胁疼', '少腹常疼', '少腹中部亦痛', '不拒按', '推之可移', '痞满不思食']"
有块状,"['肚腹痛', '口干', '月经过多', '眩晕', '脉弦数', '口苦', '舌质红', '舌苔黄腻', '多怒', '胁胀', '色红', '性急']"
服气不安,"['饮食不下', '肚腹痛', '腰痛', '妊而数堕', '屡产', '生而不寿']"
本经衰弱,"['疼痛', '脐腹冷痛', '血结', '成块']"
松悸不定,"['言语謇涩', '产后百损', '盗汗', '自汗', '多忘', '精神恍惚不主']"
欲成疮,"['血风劳', '遍身瘙痒', '皮肤干燥']"
欲结成痈,"['乳悬', '肿痛此热']"
欲郁,"['带下', '气滞', '血郁']"
歌笑无度,"['言语謇涩', '风邪', '心神恐惧', '啼泣不止']"
歌詠言笑,"['月经不通', '面目青黑', '热入血室', '悲泣不止']"
正气乖常,"['产后', '干呕', '肚腹痛', '遍身壮热', '中风', '口干', '伤寒', '眩晕', '元气虚惫', '腹内痛', '霍乱', '昏迷不省', '自汗', '有汗', '经行无定期']"
步履不安,"['难产', '血崩', '血晕', '胎漏', '作痛', '不乳出', '腰腿痠疼', '血迷', '横生倒生']"
气不使血,"['痰饮', '上攻', '气弱', '产后血运']"
气亦虚陷,"['饮食不下', '头目眩晕', '血崩', '渐渐羸瘦', '崩中漏下', '肢体怠情', '胸中胀满', '四肢肿', '夜寐不安', '淋漓不净', '肌骨蒸热', '月经先期', '腹中结块', '腰重冷痛', '腥秽']"
气刺撮痛,"['肚腹痛', '赤白带下', '疟', '盗汗', '小便利数', '赤白痢', '神昏', '癫痫', '咳逆', '山岚瘴气', '食滞', '中热', '心疼', '脐腹胀闷', '血痢']"
气力乏少,"['饮食不下', '产后气短']"
气力衰乏,"['饮食不下', '肌体羸瘦', '血崩', '面色黄青', '脐腹', '带下不止', '下元虚冷', '两胁膈胀', '经水不匀', '血气虚', '冲任不足']"
气力衰少,"['饮食不下', '月经不通', '颜色萎黄']"
气升上隔,"['饮食不下', '痰饮', '潮热', '心腹胀满', '腹中结块', '误食生冷']"
气厥卒仆,"['干呕', '肚腹痛', '遍身壮热', '咳嗽', '中风', '血崩', '大小便不通', '痰饮', '胸中胀满', '虚劳', '骨蒸潮热', '半身不遂', '疝气', '淋', '痞积']"
气块下注,"['痢不止', '言语謇涩', '吐泻', '肠风', '肌黄形瘦', '左瘫右痪', '畏寒', '痔漏', '手足烦倦', '腰膝酸痛或冷痛', '久疟', '上热下冷', '喜睡恶食', '赤黄疮毒']"
气块积聚,"['饮食不下', '月经不通', '赤白带下', '咳嗽', '痢不止', '眩晕', '结生瘕聚', '盗汗', '小便利数', '多睡', '血气冲心痛', '冷气', '疝气', '心腹胀满', '食积']"
气急伤风,"['赤白带下', '咳嗽', '痢不止', '血风劳', '血崩', '身疼', '心腹胀', '脚手痹顽', '左瘫右痪', '痔漏', '浑身疮癣']"
气息不快,"['饮食不下', '遍身壮热', '寒热', '头痛', '大小便不通', '心腹胀满', '不睡', '饮食过度', '腹内不调', '哺食减少']"
气息乏力,['产后恶露不尽']
气息急,"['产后', '肚腹痛', '血崩', '血露不绝']"
气无倚仗,"['产后', '言语謇涩', '喘促', '气短促', '冲任不固', '血脱']"
气暴逆,"['妊娠', '吐血不止', '衄血', '胸痛']"
气滞痞呕,"['月经不通', '寒热', '心腹胀满', '痰盛']"
气滞血实,"['肚腹痛', '腰胀', '经水将行']"
气滞走痛,['心腹胀满']
气痢不止,"['产后', '肚腹痛']"
气痢绞结,"['产后', '月经不通', '头痛', '咳嗽', '中风', '伤寒', '眩晕', '头目眩晕', '言语謇涩', '盗汗', '热毒', '腰痛', '大便结燥', '面无色', '血气冲心痛']"
气绝欲死,"['月经不通', '产后恶露不尽', '血闷冲心', '臂痛', '时上抢心']"
气腥秽,"['赤白带', '带下黄色']"
气腥臭,"['涕唾稠粘', '带下色青']"
气虚半产,"['饮食不下', '头目眩晕', '血崩', '渐渐羸瘦', '崩中漏下', '肢体怠情', '胸中胀满', '四肢肿', '夜寐不安', '淋漓不净', '肌骨蒸热', '月经先期', '腹中结块', '腰重冷痛', '腥秽']"
气血俱实,"['腹中', '作痛', '乍作乍止']"
气血冷涩,"['产后', '饮食不下', '月经不调', '寒热', '肌体羸瘦', '头目眩晕', '结生瘕聚', '寒邪', '四肢急掣', '面色苍黄', '面目青黑', '产后气短', '腹内', '四肢痠痛', '淋漓不净']"
气血将脱,['产后气短']
气血未充,"['妊娠', '不止', '精神不守', '堕胎', '虚烦', '血伤']"
气血素亏,['无力']
气血虚乏,"['产后', '烦愦', '内火暗动', '引饮']"
气食生冷,"['月经不调', '不育', '血脉不荣', '冲脉少藏', '腹多病', '经准不孕']"
气鼓,"['赤白带下', '咳嗽', '月经过多', '结生瘕聚', '风湿脚气', '肠风', '腰腿痠疼', '水肿', '鼻衄', '五淋', '血蛊', '奔豚', '心气疼痛', '肺胀', '胃吐食']"
水不济火,"['赤白带下', '津枯', '关窍不固', '房事过度']"
水气内停,"['产后', '月经不调', '大便结燥', '血结', '淋', '小便涩', '腹胁刺痛', '舌苔花白', '小便尿血', '膨胀', '口不渴', '腹中坚满', '阻滞', '癃闭', '小腹满痛']"
水疾苦,"['月经不通', '赤白带下', '中风', '痢不止', '带下', '难产', '血风劳', '疟', '热毒', '吐血不止', '妇人血气', '霍乱', '五劳', '死胎', '吐泻']"
水痢,"['产后', '饮食不下', '心腹胀满']"
水谷直下,"['饮食不下', '带下', '肢节无力', '精神不守', '多睡', '心腹胀满', '少力', '积冷', '米谷不化', '肠虚滑泄', '沉微']"
汗多不止,"['产后', '伤寒', '四肢急掣', '口急', '背项强直', '阴竭', '阳微', '牙噤发搐']"
汗黄,"['小便短赤', '产后淋痛', '眼黄']"
沉懒,"['遍身壮热', '肢节无力', '腹中', '自汗', '精神不守', '气逆', '漏血不止', '气短', '脾胃虚弱', '闷乱', '心气不足', '色鲜红', '恶见']"
沉重气块,"['赤白带下', '咳嗽', '月经过多', '结生瘕聚', '风湿脚气', '肠风', '腰腿痠疼', '水肿', '鼻衄', '五淋', '血蛊', '奔豚', '心气疼痛', '肺胀', '胃吐食']"
沥干不下,[]
浮气瘴气,"['产后', '月经不通', '头痛', '咳嗽', '中风', '伤寒', '眩晕', '头目眩晕', '言语謇涩', '盗汗', '热毒', '腰痛', '大便结燥', '面无色', '血气冲心痛']"
浮热汗出,"['遍身壮热', '吐血不止', '虚劳', '自汗', '阴虚', '夜寐不安', '下元虚冷', '咳血', '梦交', '上热', '下利清谷']"
涎聚上壅,"['遍身壮热', '小儿惊痫', '胎风', '邪气', '搐搦']"
涕唾稠,"['寒热', '赤白带下', '咳嗽', '伤寒', '血崩', '崩中漏下', '结生瘕聚', '肢节无力', '疟', '疮疥', '骨蒸潮热', '口苦', '面色苍黄', '肠风', '生疮']"
液脱阳离,"['带下', '神昏', '心阳内耗', '内劳无度', '命门不禁', '命门失守']"
淋毒沉滞,"['产后', '月经不调', '大便结燥', '血结', '淋', '小便涩', '腹胁刺痛', '舌苔花白', '小便尿血', '膨胀', '口不渴', '腹中坚满', '阻滞', '癃闭', '小腹满痛']"
淋涩不通,"['产后', '肠风']"
淋疾,"['赤白带下', '血崩', '阴中冷', '五劳', '小便浊败', '漏血不止', '面色苍黄', '脏腑虚损', '血海虚冷', '精滑', '膀胱疝气']"
清腥如水,['带下']
清血不止,"['赤白带下', '产后恶露不尽']"
渐成劳状,"['产后', '饮食不下', '月经不调', '寒热', '赤白带下', '月经过多', '肌体羸瘦', '血崩', '结生瘕聚', '面无色', '腰胯沉重', '血海虚冷', '干血', '两胁胀痛', '气血不调']"
渐渐瘦悴,"['饮食不下', '月经不调', '带下', '不育', '不止']"
